1099/I,OPTICA FORD F100 96/99,,OPTICA,FORD,DEPO,1178.85,NO,NO
110,PORTAEQUIPAJE FORD KA M/V EN ALUMINIO 1 Mt.COMPLETO,,PORTAEQUIPAJE,FORD,RS,1377.00,NO,NO
1100/D,OPTICA FORD F100 99/06 (DUTY),,OPTICA,FORD,DEPO,1561.34,NO,NO
1100/I,OPTICA FORD F100 99/06 (DUTY),,OPTICA,FORD,DEPO,1561.34,NO,NO
111,PORTAEQUIPAJE ESPECIAL RANGER D/C,,PORTAEQUIPAJE,FORD,RS,1269.90,NO,NO
1110/D,OPTICA FORD FOCUS 04/08,,OPTICA,FORD,DEPO,3372.80,NO,NO
1110/I,OPTICA FORD FOCUS 04/08,,OPTICA,FORD,DEPO,3372.80,NO,NO
1112/D,OPTICA FORD FOCUS 99/03,,OPTICA,FORD,DEPO,2149.02,NO,NO
1112/I,OPTICA FORD FOCUS 99/03,,OPTICA,FORD,DEPO,2149.02,NO,NO
1115/D,OPTICA FORD GALAXY ENGANCHE ARTEB/CIBIE,,OPTICA,FORD,RCD,1355.06,NO,NO
1115/I,OPTICA FORD GALAXY ENGANCHE ARTEB/CIBIE,,OPTICA,FORD,RCD,1355.06,NO,NO
1118/D,OPTICA FORD KA 08 F/CROMADO,,OPTICA,FORD,DEPO,1368.58,NO,NO
1118/I,OPTICA FORD KA 08 F/CROMADO,,OPTICA,FORD,DEPO,1368.58,NO,NO
112,PORTAEQUIPAJE UNIV.PARA UTILITARIOS (PARRILLA) DESARMABLE,,PORTAEQUIPAJE,UNIVERSAL,RS,2677.50,NO,NO
1120/D,OPTICA FORD KA 97/01 GIRO AMBAR,,OPTICA,FORD,LAM,758.66,NO,NO
1120/I,OPTICA FORD KA 97/01 GIRO AMBAR,,OPTICA,FORD,LAM,758.66,NO,NO
1121/D,OPTICA FORD MONDEO 01/08,,OPTICA,FORD,DEPO,3585.98,NO,NO
1121/I,OPTICA FORD MONDEO 01/08,,OPTICA,FORD,DEPO,3585.98,NO,NO
1123/D,OPTICA FORD MONDEO 98/01,,OPTICA,FORD,DEPO,2642.29,NO,NO
1123/I,OPTICA FORD MONDEO 98/01,,OPTICA,FORD,DEPO,2642.29,NO,NO
1124/D,OPTICA FORD KA 02/07 GIRO CRISTAL,,OPTICA,FORD,LAM,758.66,NO,NO
1124/I,OPTICA FORD KA 02/07 GIRO CRISTAL,,OPTICA,FORD,LAM,758.66,NO,NO
1126/D,OPTICA FORD ORION,,OPTICA,FORD,DEPO,1398.22,NO,NO
1126/I,OPTICA FORD ORION,,OPTICA,FORD,DEPO,1398.22,NO,NO
1127/D,OPTICA FORD RANGER 05/09,,OPTICA,FORD,DEPO,1597.33,NO,NO
1127/I,OPTICA FORD RANGER 05/09,,OPTICA,FORD,DEPO,1597.33,NO,NO
1128/D,OPTICA FORD RANGER 96/97,,OPTICA,FORD,DEPO,1536.05,NO,NO
1128/I,OPTICA FORD RANGER 96/97,,OPTICA,FORD,DEPO,1536.05,NO,NO
1129/D,OPTICA FORD RANGER 98/04,,OPTICA,FORD,DEPO,1055.42,NO,NO
1129/I,OPTICA FORD RANGER 98/04,,OPTICA,FORD,DEPO,1055.42,NO,NO
113,PORTAEQUIPAJE UNIV.TRANSVERSAL P/RURALES C/CERRADURA,,PORTAEQUIPAJE,UNIVERSAL,RS,884.34,NO,NO
1133/D,OPTICA FORD TRANSIT 01/-,,OPTICA,FORD,DEPO,3388.48,NO,NO
1133/I,OPTICA FORD TRANSIT 01/-,,OPTICA,FORD,DEPO,3388.48,NO,NO
1139/D,OPTICA MB SPRINTER 05/11 C/AUX,,OPTICA,MERCEDES,DEPO,4712.37,NO,NO
1139/I,OPTICA MB SPRINTER 05/11 C/AUX,,OPTICA,MERCEDES,DEPO,4712.37,NO,NO
1140/D,OPTICA MB SPRINTER 03/05 C/AUX (RAYADO),,OPTICA,MERCEDES,DEPO,4864.80,NO,NO
1140/I,OPTICA MB SPRINTER 03/05 C/AUX (RAYADO),,OPTICA,MERCEDES,DEPO,4864.80,NO,NO
